id,name,latitude,longitude ,feature class,feature code,admin1,admin2,admin3,admin4,population,demelev
49518,Republic of Rwanda,-2,30,A,PCLI,0,,,,12301939,1354
49521,Muvogero,-1.1294,30.3436,H,STM,0,,,,0,1323
49524,Muhavura,-1.3806,29.6773,T,VLC,0,,,,0,3970
49525,Vigaga,-1.35,29.88333,H,STM,0,,,,0,2217
49526,Volcan Karisimbi,-1.50778,29.44722,T,VLC,0,,,,0,4302
49528,Volcan Gahinga,-1.3844,29.644,T,VLC,,,,,0,3389
158375,Ravin Kanyonza,-1.07482,30.45717,H,RVN,0,,,,0,1275
201358,Zivu,-2.5551,29.8106,P,PPLL,15,22,2213,221305,0,1582
201359,Zaza,-2.16965,30.42621,P,PPL,11,56,5614,561403,0,1425
201360,Zanzati,-1.8,30.08333,H,STM,13,,,,0,1498
201361,Yanze,-1.9402,30.0334,H,STM,12,,,,0,1417
201362,Kuwinka,-2.4876,29.2074,T,MT,14,36,3602,360203,0,2223
201364,Warufu,-1.6452,30.2271,H,STM,13,,,,0,1565
201365,Île Wahu,-1.92941,29.1463,T,ISL,14,,,,0,1461
201366,Vumwe,-2.1258,30.4924,P,PPLL,11,56,5612,561201,0,1469
201367,Uwamabende,-2.48333,29.41667,H,STM,15,,,,0,2220
201368,Plaine Urwuya,-1.8,30.65,T,PLN,11,,,,0,1342
201369,Urwindi,-1.4296,30.4926,H,STMI,11,,,,0,1322
201370,Uruumanza,-2.1541,29.8517,H,STM,15,,,,0,1470
201371,Urugondo,-2.2013,29.844,H,STM,15,,,,0,1497
201372,Nkungu,-2.0757,30.445,H,STM,11,,,,0,1336
201373,Urwanda,-2.3408,30.1525,H,STMI,11,,,,0,1350
201374,Ungu,-1.46667,29.53333,L,LCTY,13,,,,0,2438
201375,Île Udushivire,-2.08333,29.26667,T,ISL,14,,,,0,1461
201376,Twinyoni,-2.68333,29.33333,T,MT,15,23,2310,231005,0,2532
201377,Tunduti,-2.2238,30.4678,P,PPLL,11,56,5604,560404,0,1326
201378,Tunani,-2.3495,29.5393,P,PPLL,15,25,2505,250501,0,1829
201379,Tumba,-2.6297,29.738,P,PPL,15,24,2414,241403,0,1773
201380,Tshyabyavi,-1.41667,29.61667,L,LCTY,13,,,,0,2437
201381,Tshyabariza,-2.06778,29.99472,H,STM,15,,,,0,1347
201382,Tshungo,-2.06667,29.78333,P,PPLL,15,27,2701,270104,0,1822
201383,Kibumba,-1.9809,29.76738,L,LCTY,15,,,,0,1743
201384,Cyonyonyo,-1.8454,29.9907,H,STM,13,,,,0,1616
201385,Cyobe,-2.13689,29.86953,P,PPLL,15,26,2606,260605,0,1525
201386,Cyinzovu,-2.039,30.5626,P,PPLL,11,54,5403,540302,0,1645
201387,Kimpondwe,-1.8609,29.812,H,STM,15,,,,0,1415
201388,Tshibumba,-1.45,30.2,H,STM,11,,,,0,1405
201389,Tshewazimbuzi,-2.48333,29.36667,H,STM,15,,,,0,2299
201390,Cyacika,-1.8551,29.8851,H,STM,13,,,,0,1447
201391,Tsharubindi,-1.43333,29.55,L,LCTY,13,,,,0,2433
201392,Tongati,-2.18333,29.5,P,PPLL,14,31,3111,311103,0,1816
201393,Tembero,-1.36667,29.71667,L,LCTY,13,,,,0,2250
201394,Île Tembabagoye,-2.01389,29.3075,T,ISL,14,,,,0,1461
201395,Tema,-2.28333,29.35,L,LCTY,14,,,,0,2430
201396,Tema,-2.21917,29.36361,P,PPLL,14,31,3113,311301,0,2346
201397,Chute Taruka,-1.46667,29.75,H,FLLS,13,,,,0,2000
201398,Île Tarera,-2.25712,29.16221,T,ISL,14,,,,0,1461
201399,Tangaro,-2.56444,29.18306,H,STM,14,,,,0,1704
201400,Takwe,-2.0372,29.7966,H,STM,15,,,,0,1747
201401,Takwe,-2.0405,29.7809,P,PPL,15,27,2701,270103,0,1777
201402,Sumu,-2.83333,29.36667,H,STM,15,,,,0,1634
201403,Sovu,-2.5567,29.7049,P,PPL,15,24,2402,240204,0,1776
201404,Songa,-2.01111,29.61167,H,STM,14,,,,0,1663
201405,Bizi,-1.6484,30.0809,H,STM,13,,,,0,1886
201406,Sinabyaye,-1.3918,29.6541,V,FRST,13,,,,0,3064
201407,Simbi,-2.5109,29.6675,P,PPL,15,24,2413,241304,0,1718
201409,Sogwe,-2.3808,29.7745,P,PPLL,15,24,2405,240502,0,1706
